Judul Produk,Link Gambar,Harga,Harga Coret,Deskripsi,Status,Berat,Label
Kebenaran yang Hilang,https://lh3.googleusercontent.com/d/1RFGOcuj8Ykgq4KZQaob1_mUmcCw_Lm4k,Rp3.500,Rp15.000,"Kebenaran yang Hilang adalah bagian dari koleksi buku pilihan yang relevan untuk pembaca masa kini. Buku ini mengangkat tema yang bermakna dan penuh wawasan, cocok untuk kamu yang ingin bertumbuh secara intelektual maupun spiritual. Baik kamu Gen Z atau milenial, buku ini bisa jadi teman diskusi batin maupun inspirasi harianmu. Temukan pengalaman membaca yang reflektif, praktis, dan menyentuh—semuanya dari genggaman tanganmu. Yuk, mulai petualangan barumu lewat halaman-halaman penuh makna ini!",on,500,EBOOK
Humanisme dan Sesudahnya: Meninjau Ulang Gagasan Besar tentang Manusia,https://lh3.googleusercontent.com/d/13TQ0UmukTmWBp4uBF_1Ee0JCQ2zyRTLg,Rp3.500,Rp15.000,"Humanisme dan Sesudahnya: Meninjau Ulang Gagasan Besar tentang Manusia adalah bagian dari koleksi buku pilihan yang relevan untuk pembaca masa kini. Buku ini mengangkat tema yang bermakna dan penuh wawasan, cocok untuk kamu yang ingin bertumbuh secara intelektual maupun spiritual. Baik kamu Gen Z atau milenial, buku ini bisa jadi teman diskusi batin maupun inspirasi harianmu. Temukan pengalaman membaca yang reflektif, praktis, dan menyentuh—semuanya dari genggaman tanganmu. Yuk, mulai petualangan barumu lewat halaman-halaman penuh makna ini!",on,500,EBOOK
Kepemimpinan Militer (Buku 1),https://lh3.googleusercontent.com/d/1NY_f4vTOQE7bL0bKhdOKOaE5Xr_soekq,Rp3.500,Rp15.000,"Kepemimpinan Militer (Buku 1) adalah bagian dari koleksi buku pilihan yang relevan untuk pembaca masa kini. Buku ini mengangkat tema yang bermakna dan penuh wawasan, cocok untuk kamu yang ingin bertumbuh secara intelektual maupun spiritual. Baik kamu Gen Z atau milenial, buku ini bisa jadi teman diskusi batin maupun inspirasi harianmu. Temukan pengalaman membaca yang reflektif, praktis, dan menyentuh—semuanya dari genggaman tanganmu. Yuk, mulai petualangan barumu lewat halaman-halaman penuh makna ini!",on,500,EBOOK
Perempuan, Masyarakat Patriarki - Final,https://lh3.googleusercontent.com/d/1z0gbialo3lYyJAI9jPtcQuCP5e_bq0J0,Rp3.500,Rp15.000,"Perempuan, Masyarakat Patriarki - Final adalah bagian dari koleksi buku pilihan yang relevan untuk pembaca masa kini. Buku ini mengangkat tema yang bermakna dan penuh wawasan, cocok untuk kamu yang ingin bertumbuh secara intelektual maupun spiritual. Baik kamu Gen Z atau milenial, buku ini bisa jadi teman diskusi batin maupun inspirasi harianmu. Temukan pengalaman membaca yang reflektif, praktis, dan menyentuh—semuanya dari genggaman tanganmu. Yuk, mulai petualangan barumu lewat halaman-halaman penuh makna ini!",on,500,EBOOK
An Honest Thief – Fyodor Dostoyevsky,https://lh3.googleusercontent.com/d/1QGCvYRiXUyQ5TFJ1o3OCcJ824UuYr7jx,Rp3.500,Rp15.000,"An Honest Thief – Fyodor Dostoyevsky adalah bagian dari koleksi buku pilihan yang relevan untuk pembaca masa kini. Buku ini mengangkat tema yang bermakna dan penuh wawasan, cocok untuk kamu yang ingin bertumbuh secara intelektual maupun spiritual. Baik kamu Gen Z atau milenial, buku ini bisa jadi teman diskusi batin maupun inspirasi harianmu. Temukan pengalaman membaca yang reflektif, praktis, dan menyentuh—semuanya dari genggaman tanganmu. Yuk, mulai petualangan barumu lewat halaman-halaman penuh makna ini!",on,500,EBOOK
Career of Evil – Robert Galbraith,https://lh3.googleusercontent.com/d/1drjtZJfVJOkXNVh-dRp9DOQ6jAtTBAeh,Rp3.500,Rp15.000,"Career of Evil – Robert Galbraith adalah bagian dari koleksi buku pilihan yang relevan untuk pembaca masa kini. Buku ini mengangkat tema yang bermakna dan penuh wawasan, cocok untuk kamu yang ingin bertumbuh secara intelektual maupun spiritual. Baik kamu Gen Z atau milenial, buku ini bisa jadi teman diskusi batin maupun inspirasi harianmu. Temukan pengalaman membaca yang reflektif, praktis, dan menyentuh—semuanya dari genggaman tanganmu. Yuk, mulai petualangan barumu lewat halaman-halaman penuh makna ini!",on,500,EBOOK
Strategi Transformasi Bangsa - Prabowo Subianto (2023),https://lh3.googleusercontent.com/d/1w4_4X9OKNCl63--QGTPq50MOYsgLAw5N,Rp3.500,Rp15.000,"Strategi Transformasi Bangsa - Prabowo Subianto (2023) adalah bagian dari koleksi buku pilihan yang relevan untuk pembaca masa kini. Buku ini mengangkat tema yang bermakna dan penuh wawasan, cocok untuk kamu yang ingin bertumbuh secara intelektual maupun spiritual. Baik kamu Gen Z atau milenial, buku ini bisa jadi teman diskusi batin maupun inspirasi harianmu. Temukan pengalaman membaca yang reflektif, praktis, dan menyentuh—semuanya dari genggaman tanganmu. Yuk, mulai petualangan barumu lewat halaman-halaman penuh makna ini!",on,500,EBOOK
The Magic of Thinking Big by David J. Schwartz (z-lib.org),https://lh3.googleusercontent.com/d/1TnX1KvsjMIg0rtAJ2EiLpgeCJKQawfqu,Rp3.500,Rp15.000,"The Magic of Thinking Big by David J. Schwartz (z-lib.org) adalah bagian dari koleksi buku pilihan yang relevan untuk pembaca masa kini. Buku ini mengangkat tema yang bermakna dan penuh wawasan, cocok untuk kamu yang ingin bertumbuh secara intelektual maupun spiritual. Baik kamu Gen Z atau milenial, buku ini bisa jadi teman diskusi batin maupun inspirasi harianmu. Temukan pengalaman membaca yang reflektif, praktis, dan menyentuh—semuanya dari genggaman tanganmu. Yuk, mulai petualangan barumu lewat halaman-halaman penuh makna ini!",on,500,EBOOK
Kamus Besar Bahasa Indonesia,https://lh3.googleusercontent.com/d/bc1qg4zndrsatg0j6xzdc5czs9l3vntz5gwwsrp6py,Rp3.500,Rp15.000,"Kamus Besar Bahasa Indonesia adalah bagian dari koleksi buku pilihan yang relevan untuk pembaca masa kini. Buku ini mengangkat tema yang bermakna dan penuh wawasan, cocok untuk kamu yang ingin bertumbuh secara intelektual maupun spiritual. Baik kamu Gen Z atau milenial, buku ini bisa jadi teman diskusi batin maupun inspirasi harianmu. Temukan pengalaman membaca yang reflektif, praktis, dan menyentuh—semuanya dari genggaman tanganmu. Yuk, mulai petualangan barumu lewat halaman-halaman penuh makna ini!",on,500,EBOOK
Gadis Kretek – Ratih Kumala,https://lh3.googleusercontent.com/d/1-GllKExSiPy9gemrVLtvIf3q5dwZxuUh,Rp3.500,Rp15.000,"Gadis Kretek – Ratih Kumala adalah bagian dari koleksi buku pilihan yang relevan untuk pembaca masa kini. Buku ini mengangkat tema yang bermakna dan penuh wawasan, cocok untuk kamu yang ingin bertumbuh secara intelektual maupun spiritual. Baik kamu Gen Z atau milenial, buku ini bisa jadi teman diskusi batin maupun inspirasi harianmu. Temukan pengalaman membaca yang reflektif, praktis, dan menyentuh—semuanya dari genggaman tanganmu. Yuk, mulai petualangan barumu lewat halaman-halaman penuh makna ini!",on,500,EBOOK
Polzunkov – Fyodor Dostoyevsky,https://lh3.googleusercontent.com/d/1HusgCY4tWKOmXjSPn2zpy6AUnk9_LFX-,Rp3.500,Rp15.000,"Polzunkov – Fyodor Dostoyevsky adalah bagian dari koleksi buku pilihan yang relevan untuk pembaca masa kini. Buku ini mengangkat tema yang bermakna dan penuh wawasan, cocok untuk kamu yang ingin bertumbuh secara intelektual maupun spiritual. Baik kamu Gen Z atau milenial, buku ini bisa jadi teman diskusi batin maupun inspirasi harianmu. Temukan pengalaman membaca yang reflektif, praktis, dan menyentuh—semuanya dari genggaman tanganmu. Yuk, mulai petualangan barumu lewat halaman-halaman penuh makna ini!",on,500,EBOOK
Fluent English - Barbara R. Raifsnider,https://lh3.googleusercontent.com/d/1Lf8aWSigqFFqOg7JFqtgyckD9TM_Eyjy,Rp3.500,Rp15.000,"Fluent English - Barbara R. Raifsnider adalah bagian dari koleksi buku pilihan yang relevan untuk pembaca masa kini. Buku ini mengangkat tema yang bermakna dan penuh wawasan, cocok untuk kamu yang ingin bertumbuh secara intelektual maupun spiritual. Baik kamu Gen Z atau milenial, buku ini bisa jadi teman diskusi batin maupun inspirasi harianmu. Temukan pengalaman membaca yang reflektif, praktis, dan menyentuh—semuanya dari genggaman tanganmu. Yuk, mulai petualangan barumu lewat halaman-halaman penuh makna ini!",on,500,EBOOK
Panduan Belajar Mandiri Bahasa Korea 1,https://lh3.googleusercontent.com/d/1du-Dnb1J5LxcgOYZQBQxQS7bVBtXYfVO,Rp3.500,Rp15.000,"Panduan Belajar Mandiri Bahasa Korea 1 adalah bagian dari koleksi buku pilihan yang relevan untuk pembaca masa kini. Buku ini mengangkat tema yang bermakna dan penuh wawasan, cocok untuk kamu yang ingin bertumbuh secara intelektual maupun spiritual. Baik kamu Gen Z atau milenial, buku ini bisa jadi teman diskusi batin maupun inspirasi harianmu. Temukan pengalaman membaca yang reflektif, praktis, dan menyentuh—semuanya dari genggaman tanganmu. Yuk, mulai petualangan barumu lewat halaman-halaman penuh makna ini!",on,500,EBOOK
Diary of a Wimpy Kid [03] – *The Last Straw* – Jeff Kinney,https://lh3.googleusercontent.com/d/1CODegYBD4VX338Vli2kLO8o3WPhhZfVI,Rp3.500,Rp15.000,"Diary of a Wimpy Kid [03] – The Last Straw – Jeff Kinney adalah bagian dari koleksi buku pilihan yang relevan untuk pembaca masa kini. Buku ini mengangkat tema yang bermakna dan penuh wawasan, cocok untuk kamu yang ingin bertumbuh secara intelektual maupun spiritual. Baik kamu Gen Z atau milenial, buku ini bisa jadi teman diskusi batin maupun inspirasi harianmu. Temukan pengalaman membaca yang reflektif, praktis, dan menyentuh—semuanya dari genggaman tanganmu. Yuk, mulai petualangan barumu lewat halaman-halaman penuh makna ini!",on,500,EBOOK
Rahasia Psikologi Gelap: Panduan Esensial untuk Persuasi, Manipulasi Emosional,https://lh3.googleusercontent.com/d/1wlCMn9LsIDyJFQTUs4epcQOxEEaSz7Ew,Rp3.500,Rp15.000,"Rahasia Psikologi Gelap: Panduan Esensial untuk Persuasi, Manipulasi Emosional adalah bagian dari koleksi buku pilihan yang relevan untuk pembaca masa kini. Buku ini mengangkat tema yang bermakna dan penuh wawasan, cocok untuk kamu yang ingin bertumbuh secara intelektual maupun spiritual. Baik kamu Gen Z atau milenial, buku ini bisa jadi teman diskusi batin maupun inspirasi harianmu. Temukan pengalaman membaca yang reflektif, praktis, dan menyentuh—semuanya dari genggaman tanganmu. Yuk, mulai petualangan barumu lewat halaman-halaman penuh makna ini!",on,500,EBOOK
Belajar Cara Belajar: Keahlian Paling Penting,https://lh3.googleusercontent.com/d/1dSDjDz8RGWr54yj3vWSDM7iucIvqnwSN,Rp3.500,Rp15.000,"Belajar Cara Belajar: Keahlian Paling Penting adalah bagian dari koleksi buku pilihan yang relevan untuk pembaca masa kini. Buku ini mengangkat tema yang bermakna dan penuh wawasan, cocok untuk kamu yang ingin bertumbuh secara intelektual maupun spiritual. Baik kamu Gen Z atau milenial, buku ini bisa jadi teman diskusi batin maupun inspirasi harianmu. Temukan pengalaman membaca yang reflektif, praktis, dan menyentuh—semuanya dari genggaman tanganmu. Yuk, mulai petualangan barumu lewat halaman-halaman penuh makna ini!",on,500,EBOOK
Atomic Habits,https://lh3.googleusercontent.com/d/1UpInXvwdCMb9sXXBLIDVpzUArUvEHxaZ,Rp3.500,Rp15.000,"Atomic Habits adalah bagian dari koleksi buku pilihan yang relevan untuk pembaca masa kini. Buku ini mengangkat tema yang bermakna dan penuh wawasan, cocok untuk kamu yang ingin bertumbuh secara intelektual maupun spiritual. Baik kamu Gen Z atau milenial, buku ini bisa jadi teman diskusi batin maupun inspirasi harianmu. Temukan pengalaman membaca yang reflektif, praktis, dan menyentuh—semuanya dari genggaman tanganmu. Yuk, mulai petualangan barumu lewat halaman-halaman penuh makna ini!",on,500,EBOOK
Menalar Tuhan – Franz Magnis-Suseno,https://lh3.googleusercontent.com/d/1yfYmLyKgACFjBSZ_O0-j0AlRik3CbYNZ,Rp3.500,Rp15.000,"Menalar Tuhan – Franz Magnis-Suseno adalah bagian dari koleksi buku pilihan yang relevan untuk pembaca masa kini. Buku ini mengangkat tema yang bermakna dan penuh wawasan, cocok untuk kamu yang ingin bertumbuh secara intelektual maupun spiritual. Baik kamu Gen Z atau milenial, buku ini bisa jadi teman diskusi batin maupun inspirasi harianmu. Temukan pengalaman membaca yang reflektif, praktis, dan menyentuh—semuanya dari genggaman tanganmu. Yuk, mulai petualangan barumu lewat halaman-halaman penuh makna ini!",on,500,EBOOK
Delusi Akan Tuhan,https://lh3.googleusercontent.com/d/1FQTo7ojeIJ99X6HOu_a65FLHiE4mzkru,Rp3.500,Rp15.000,"Delusi Akan Tuhan adalah bagian dari koleksi buku pilihan yang relevan untuk pembaca masa kini. Buku ini mengangkat tema yang bermakna dan penuh wawasan, cocok untuk kamu yang ingin bertumbuh secara intelektual maupun spiritual. Baik kamu Gen Z atau milenial, buku ini bisa jadi teman diskusi batin maupun inspirasi harianmu. Temukan pengalaman membaca yang reflektif, praktis, dan menyentuh—semuanya dari genggaman tanganmu. Yuk, mulai petualangan barumu lewat halaman-halaman penuh makna ini!",on,500,EBOOK
Terdidik (Educated) - Tara Westover (pdfcoffee.com) pdf free,https://lh3.googleusercontent.com/d/1Ebg53tysEVOouELpH6blsC2WSEDZ7_Wt,Rp3.500,Rp15.000,"Terdidik (Educated) - Tara Westover (pdfcoffee.com) pdf free adalah bagian dari koleksi buku pilihan yang relevan untuk pembaca masa kini. Buku ini mengangkat tema yang bermakna dan penuh wawasan, cocok untuk kamu yang ingin bertumbuh secara intelektual maupun spiritual. Baik kamu Gen Z atau milenial, buku ini bisa jadi teman diskusi batin maupun inspirasi harianmu. Temukan pengalaman membaca yang reflektif, praktis, dan menyentuh—semuanya dari genggaman tanganmu. Yuk, mulai petualangan barumu lewat halaman-halaman penuh makna ini!",on,500,EBOOK
Sosialisme dan Manusia di Kuba,https://lh3.googleusercontent.com/d/1Ic1JywYvF3WfB6_a_OuNRiqEfu81avB0,Rp3.500,Rp15.000,"Sosialisme dan Manusia di Kuba adalah bagian dari koleksi buku pilihan yang relevan untuk pembaca masa kini. Buku ini mengangkat tema yang bermakna dan penuh wawasan, cocok untuk kamu yang ingin bertumbuh secara intelektual maupun spiritual. Baik kamu Gen Z atau milenial, buku ini bisa jadi teman diskusi batin maupun inspirasi harianmu. Temukan pengalaman membaca yang reflektif, praktis, dan menyentuh—semuanya dari genggaman tanganmu. Yuk, mulai petualangan barumu lewat halaman-halaman penuh makna ini!",on,500,EBOOK
Otodidak Menguasai Bahasa Inggris,https://lh3.googleusercontent.com/d/1QF66Fa_H7gKdckjV9iGLaxcdeWVV8olb,Rp3.500,Rp15.000,"Otodidak Menguasai Bahasa Inggris adalah bagian dari koleksi buku pilihan yang relevan untuk pembaca masa kini. Buku ini mengangkat tema yang bermakna dan penuh wawasan, cocok untuk kamu yang ingin bertumbuh secara intelektual maupun spiritual. Baik kamu Gen Z atau milenial, buku ini bisa jadi teman diskusi batin maupun inspirasi harianmu. Temukan pengalaman membaca yang reflektif, praktis, dan menyentuh—semuanya dari genggaman tanganmu. Yuk, mulai petualangan barumu lewat halaman-halaman penuh makna ini!",on,500,EBOOK
Going Home – IHHCH,https://lh3.googleusercontent.com/d/1VPvOYtyfpAlNtCmg1o1WF9yN_88oFo_-,Rp3.500,Rp15.000,"Going Home – IHHCH adalah bagian dari koleksi buku pilihan yang relevan untuk pembaca masa kini. Buku ini mengangkat tema yang bermakna dan penuh wawasan, cocok untuk kamu yang ingin bertumbuh secara intelektual maupun spiritual. Baik kamu Gen Z atau milenial, buku ini bisa jadi teman diskusi batin maupun inspirasi harianmu. Temukan pengalaman membaca yang reflektif, praktis, dan menyentuh—semuanya dari genggaman tanganmu. Yuk, mulai petualangan barumu lewat halaman-halaman penuh makna ini!",on,500,EBOOK
Cinta yang Marah – M. Aan Mansyur,https://lh3.googleusercontent.com/d/1tJPqjGysZU3CwMqUqUcENowICIO-DZi0,Rp3.500,Rp15.000,"Cinta yang Marah – M. Aan Mansyur adalah bagian dari koleksi buku pilihan yang relevan untuk pembaca masa kini. Buku ini mengangkat tema yang bermakna dan penuh wawasan, cocok untuk kamu yang ingin bertumbuh secara intelektual maupun spiritual. Baik kamu Gen Z atau milenial, buku ini bisa jadi teman diskusi batin maupun inspirasi harianmu. Temukan pengalaman membaca yang reflektif, praktis, dan menyentuh—semuanya dari genggaman tanganmu. Yuk, mulai petualangan barumu lewat halaman-halaman penuh makna ini!",on,500,EBOOK
Diary of a Wimpy Kid [07] – Jeff Kinney,https://lh3.googleusercontent.com/d/18-nUOfGgAiZhlE4LKg08pFm70KMB9I-E,Rp3.500,Rp15.000,"Diary of a Wimpy Kid [07] – Jeff Kinney adalah bagian dari koleksi buku pilihan yang relevan untuk pembaca masa kini. Buku ini mengangkat tema yang bermakna dan penuh wawasan, cocok untuk kamu yang ingin bertumbuh secara intelektual maupun spiritual. Baik kamu Gen Z atau milenial, buku ini bisa jadi teman diskusi batin maupun inspirasi harianmu. Temukan pengalaman membaca yang reflektif, praktis, dan menyentuh—semuanya dari genggaman tanganmu. Yuk, mulai petualangan barumu lewat halaman-halaman penuh makna ini!",on,500,EBOOK
Mindset and Passion,https://lh3.googleusercontent.com/d/1flnFaTsnYPMoJ0kkpEhufE2Zg0Es10sb,Rp3.500,Rp15.000,"Mindset and Passion adalah bagian dari koleksi buku pilihan yang relevan untuk pembaca masa kini. Buku ini mengangkat tema yang bermakna dan penuh wawasan, cocok untuk kamu yang ingin bertumbuh secara intelektual maupun spiritual. Baik kamu Gen Z atau milenial, buku ini bisa jadi teman diskusi batin maupun inspirasi harianmu. Temukan pengalaman membaca yang reflektif, praktis, dan menyentuh—semuanya dari genggaman tanganmu. Yuk, mulai petualangan barumu lewat halaman-halaman penuh makna ini!",on,500,EBOOK
4 Discipline of Execution (4dx),https://lh3.googleusercontent.com/d/1mjroO9j3daMi8kHDwsiLQVy9rOgT2NwI,Rp3.500,Rp15.000,"4 Discipline of Execution (4dx) adalah bagian dari koleksi buku pilihan yang relevan untuk pembaca masa kini. Buku ini mengangkat tema yang bermakna dan penuh wawasan, cocok untuk kamu yang ingin bertumbuh secara intelektual maupun spiritual. Baik kamu Gen Z atau milenial, buku ini bisa jadi teman diskusi batin maupun inspirasi harianmu. Temukan pengalaman membaca yang reflektif, praktis, dan menyentuh—semuanya dari genggaman tanganmu. Yuk, mulai petualangan barumu lewat halaman-halaman penuh makna ini!",on,500,EBOOK
Kitab Warisan: Kumpulan Ilmu-ilmu Ajian, Mantra, dan Amalan Lengkap,https://lh3.googleusercontent.com/d/1c-k9Y1zpZD1cw2ex5HPGtB9LX3bVc7b4,Rp3.500,Rp15.000,"Kitab Warisan: Kumpulan Ilmu-ilmu Ajian, Mantra, dan Amalan Lengkap adalah bagian dari koleksi buku pilihan yang relevan untuk pembaca masa kini. Buku ini mengangkat tema yang bermakna dan penuh wawasan, cocok untuk kamu yang ingin bertumbuh secara intelektual maupun spiritual. Baik kamu Gen Z atau milenial, buku ini bisa jadi teman diskusi batin maupun inspirasi harianmu. Temukan pengalaman membaca yang reflektif, praktis, dan menyentuh—semuanya dari genggaman tanganmu. Yuk, mulai petualangan barumu lewat halaman-halaman penuh makna ini!",on,500,EBOOK
Riyadush Shalihin (Jilid 2) - Imam Nawawi,https://lh3.googleusercontent.com/d/bc1qg4zndrsatg0j6xzdc5czs9l3vntz5gwwsrp6py,Rp3.500,Rp15.000,"Riyadush Shalihin (Jilid 2) - Imam Nawawi adalah bagian dari koleksi buku pilihan yang relevan untuk pembaca masa kini. Buku ini mengangkat tema yang bermakna dan penuh wawasan, cocok untuk kamu yang ingin bertumbuh secara intelektual maupun spiritual. Baik kamu Gen Z atau milenial, buku ini bisa jadi teman diskusi batin maupun inspirasi harianmu. Temukan pengalaman membaca yang reflektif, praktis, dan menyentuh—semuanya dari genggaman tanganmu. Yuk, mulai petualangan barumu lewat halaman-halaman penuh makna ini!",on,500,EBOOK
Cerdas dalam Bersikap dan Berperilaku,https://lh3.googleusercontent.com/d/1WoIo7SR-YMEZfcvrdm2ttvi1uqDSHd_9,Rp3.500,Rp15.000,"Cerdas dalam Bersikap dan Berperilaku adalah bagian dari koleksi buku pilihan yang relevan untuk pembaca masa kini. Buku ini mengangkat tema yang bermakna dan penuh wawasan, cocok untuk kamu yang ingin bertumbuh secara intelektual maupun spiritual. Baik kamu Gen Z atau milenial, buku ini bisa jadi teman diskusi batin maupun inspirasi harianmu. Temukan pengalaman membaca yang reflektif, praktis, dan menyentuh—semuanya dari genggaman tanganmu. Yuk, mulai petualangan barumu lewat halaman-halaman penuh makna ini!",on,500,EBOOK
Haki dan Buku Sejarah Prancis,https://lh3.googleusercontent.com/d/1EL7lLDm14X96FT6UyaPXr0HAKabpfCKD,Rp3.500,Rp15.000,"Haki dan Buku Sejarah Prancis adalah bagian dari koleksi buku pilihan yang relevan untuk pembaca masa kini. Buku ini mengangkat tema yang bermakna dan penuh wawasan, cocok untuk kamu yang ingin bertumbuh secara intelektual maupun spiritual. Baik kamu Gen Z atau milenial, buku ini bisa jadi teman diskusi batin maupun inspirasi harianmu. Temukan pengalaman membaca yang reflektif, praktis, dan menyentuh—semuanya dari genggaman tanganmu. Yuk, mulai petualangan barumu lewat halaman-halaman penuh makna ini!",on,500,EBOOK
Memorizing Like an Elephant,https://lh3.googleusercontent.com/d/1bA7CmE52X4H4WIUPvMDbjNULKgVbNNMT,Rp3.500,Rp15.000,"Memorizing Like an Elephant adalah bagian dari koleksi buku pilihan yang relevan untuk pembaca masa kini. Buku ini mengangkat tema yang bermakna dan penuh wawasan, cocok untuk kamu yang ingin bertumbuh secara intelektual maupun spiritual. Baik kamu Gen Z atau milenial, buku ini bisa jadi teman diskusi batin maupun inspirasi harianmu. Temukan pengalaman membaca yang reflektif, praktis, dan menyentuh—semuanya dari genggaman tanganmu. Yuk, mulai petualangan barumu lewat halaman-halaman penuh makna ini!",on,500,EBOOK
Buku Umum,https://lh3.googleusercontent.com/d/14dra6JO2ei6Xn7y6jNq4tGXBagFxu6iH,Rp3.500,Rp15.000,"Buku Umum adalah bagian dari koleksi buku pilihan yang relevan untuk pembaca masa kini. Buku ini mengangkat tema yang bermakna dan penuh wawasan, cocok untuk kamu yang ingin bertumbuh secara intelektual maupun spiritual. Baik kamu Gen Z atau milenial, buku ini bisa jadi teman diskusi batin maupun inspirasi harianmu. Temukan pengalaman membaca yang reflektif, praktis, dan menyentuh—semuanya dari genggaman tanganmu. Yuk, mulai petualangan barumu lewat halaman-halaman penuh makna ini!",on,500,EBOOK
Berdamai dengan Insecurity - Sony Adams,https://lh3.googleusercontent.com/d/1ObTGdt22XK9QMNZcHYPDOcoyOafsR3XV,Rp3.500,Rp15.000,"Berdamai dengan Insecurity - Sony Adams adalah bagian dari koleksi buku pilihan yang relevan untuk pembaca masa kini. Buku ini mengangkat tema yang bermakna dan penuh wawasan, cocok untuk kamu yang ingin bertumbuh secara intelektual maupun spiritual. Baik kamu Gen Z atau milenial, buku ini bisa jadi teman diskusi batin maupun inspirasi harianmu. Temukan pengalaman membaca yang reflektif, praktis, dan menyentuh—semuanya dari genggaman tanganmu. Yuk, mulai petualangan barumu lewat halaman-halaman penuh makna ini!",on,500,EBOOK
Ekologi dan Anarkisme - Murray Bookchin,https://lh3.googleusercontent.com/d/1rYk4xXDMGWEsaHiWBAIC9LuSO8quuuNz,Rp3.500,Rp15.000,"Ekologi dan Anarkisme - Murray Bookchin adalah bagian dari koleksi buku pilihan yang relevan untuk pembaca masa kini. Buku ini mengangkat tema yang bermakna dan penuh wawasan, cocok untuk kamu yang ingin bertumbuh secara intelektual maupun spiritual. Baik kamu Gen Z atau milenial, buku ini bisa jadi teman diskusi batin maupun inspirasi harianmu. Temukan pengalaman membaca yang reflektif, praktis, dan menyentuh—semuanya dari genggaman tanganmu. Yuk, mulai petualangan barumu lewat halaman-halaman penuh makna ini!",on,500,EBOOK
Komet Minor,https://lh3.googleusercontent.com/d/1o2VRPp_rLdMwR2bGl1tbyD0yVB-kG4SO,Rp3.500,Rp15.000,"Komet Minor adalah bagian dari koleksi buku pilihan yang relevan untuk pembaca masa kini. Buku ini mengangkat tema yang bermakna dan penuh wawasan, cocok untuk kamu yang ingin bertumbuh secara intelektual maupun spiritual. Baik kamu Gen Z atau milenial, buku ini bisa jadi teman diskusi batin maupun inspirasi harianmu. Temukan pengalaman membaca yang reflektif, praktis, dan menyentuh—semuanya dari genggaman tanganmu. Yuk, mulai petualangan barumu lewat halaman-halaman penuh makna ini!",on,500,EBOOK
Tha Alpha Girl's Guide - Henry Manampiring (SFILE.MOBI),https://lh3.googleusercontent.com/d/1HlzUbv03pgFJ07FxVrfyK9IFKY1VwrVM,Rp3.500,Rp15.000,"Tha Alpha Girl's Guide - Henry Manampiring (SFILE.MOBI) adalah bagian dari koleksi buku pilihan yang relevan untuk pembaca masa kini. Buku ini mengangkat tema yang bermakna dan penuh wawasan, cocok untuk kamu yang ingin bertumbuh secara intelektual maupun spiritual. Baik kamu Gen Z atau milenial, buku ini bisa jadi teman diskusi batin maupun inspirasi harianmu. Temukan pengalaman membaca yang reflektif, praktis, dan menyentuh—semuanya dari genggaman tanganmu. Yuk, mulai petualangan barumu lewat halaman-halaman penuh makna ini!",on,500,EBOOK
Anak Anak Revolusi Buku 1,https://lh3.googleusercontent.com/d/1a3Kza0QJ5qJJH0xV_0h-7io2xHYqtE28,Rp3.500,Rp15.000,"Anak Anak Revolusi Buku 1 adalah bagian dari koleksi buku pilihan yang relevan untuk pembaca masa kini. Buku ini mengangkat tema yang bermakna dan penuh wawasan, cocok untuk kamu yang ingin bertumbuh secara intelektual maupun spiritual. Baik kamu Gen Z atau milenial, buku ini bisa jadi teman diskusi batin maupun inspirasi harianmu. Temukan pengalaman membaca yang reflektif, praktis, dan menyentuh—semuanya dari genggaman tanganmu. Yuk, mulai petualangan barumu lewat halaman-halaman penuh makna ini!",on,500,EBOOK
The 21 Indispensable Qualities of a Leader: 21 Ciri Pokok Seorang,https://lh3.googleusercontent.com/d/1rP9yycC-NnrHWmj7EFNNIIa4VBIcmggj,Rp3.500,Rp15.000,"The 21 Indispensable Qualities of a Leader: 21 Ciri Pokok Seorang adalah bagian dari koleksi buku pilihan yang relevan untuk pembaca masa kini. Buku ini mengangkat tema yang bermakna dan penuh wawasan, cocok untuk kamu yang ingin bertumbuh secara intelektual maupun spiritual. Baik kamu Gen Z atau milenial, buku ini bisa jadi teman diskusi batin maupun inspirasi harianmu. Temukan pengalaman membaca yang reflektif, praktis, dan menyentuh—semuanya dari genggaman tanganmu. Yuk, mulai petualangan barumu lewat halaman-halaman penuh makna ini!",on,500,EBOOK
25 Permasalahan Seputar Pernikahan,https://lh3.googleusercontent.com/d/1XgpAB-J5BpPgxQVHbeKVw77sO5oIj8_P,Rp3.500,Rp15.000,"25 Permasalahan Seputar Pernikahan adalah bagian dari koleksi buku pilihan yang relevan untuk pembaca masa kini. Buku ini mengangkat tema yang bermakna dan penuh wawasan, cocok untuk kamu yang ingin bertumbuh secara intelektual maupun spiritual. Baik kamu Gen Z atau milenial, buku ini bisa jadi teman diskusi batin maupun inspirasi harianmu. Temukan pengalaman membaca yang reflektif, praktis, dan menyentuh—semuanya dari genggaman tanganmu. Yuk, mulai petualangan barumu lewat halaman-halaman penuh makna ini!",on,500,EBOOK
